project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner,type
realm-cocoa,44,2,8,37,164,274,36,7,1,1,1,1,1,1.0,Objective-C,5,Sistema,Organization,Nonreceptive
MJRefresh,3,1,2,2,10,266,79,2,1,0,1,1,1,0.0,Objective-C,3,Framework ou Biblioteca (Não-web),User,Nonreceptive
JSQMessagesViewController,8,0,5,4,34,192,44,4,1,0,0,0,1,1.0,Objective-C,4,Framework ou Biblioteca (Não-web),User,Nonreceptive
Mantle,5,1,2,4,26,181,23,3,1,1,0,1,1,1.0,Objective-C,5,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
YYKit,3,1,2,3,15,235,86,2,1,0,0,1,1,1.0,Objective-C,4,Framework ou Biblioteca (Não-web),User,Nonreceptive
MagicalRecord,5,2,4,3,15,120,22,4,1,1,1,1,1,0.0,Objective-C,7,Ferramenta,Organization,Nonreceptive
lottie-ios,18,1,5,19,25,1066,136,4,1,0,0,1,1,1.5,Objective-C,1,Sem categoria,Organization,Nonreceptive
RestKit,8,1,6,4,38,110,25,5,1,1,1,1,1,1.0,Objective-C,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
SVProgressHUD,3,1,3,2,9,128,26,2,1,0,0,1,1,1.0,Objective-C,6,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
Alcatraz,4,1,2,3,19,186,23,4,1,1,0,1,1,1.0,Objective-C,4,Ferramenta,Organization,Nonreceptive
IQKeyboardManager,2,1,1,2,17,202,33,3,1,0,1,1,1,1.0,Objective-C,4,Framework ou Biblioteca (Não-web),User,Nonreceptive
